Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GoogleTest,Chrome 76.0.3809.132,,,2019-09-09 15:55:14,2019-09-09 15:55:26,11.891s,INCOMPLETE
,,,,,,,
Test Cases/GoogleSearch,Chrome 76.0.3809.132,,,2019-09-09 15:55:15,2019-09-09 15:55:26,11.595s,PASSED
"openBrowser("""")",Chrome 76.0.3809.132,,,2019-09-09 15:55:15,2019-09-09 15:55:20,4.673s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 76.0.3809.132,,,2019-09-09 15:55:20,2019-09-09 15:55:21,1.586s,PASSED
"setText(findTestObject(""Object Repository/Page_Google/input_Show me_q""), ""selenium"")",Chrome 76.0.3809.132,,,2019-09-09 15:55:21,2019-09-09 15:55:21,0.284s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Google/input_Show me_q""), Keys.chord(ENTER))",Chrome 76.0.3809.132,,,2019-09-09 15:55:21,2019-09-09 15:55:23,1.742s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-09 15:55:23,2019-09-09 15:55:25,2.030s,PASSED
pageTitle = getWindowTitle(),Chrome 76.0.3809.132,,,2019-09-09 15:55:25,2019-09-09 15:55:25,0.026s,PASSED
"verifyMatch(pageTitle, ""selenium - Google Search"", false)",Chrome 76.0.3809.132,,,2019-09-09 15:55:25,2019-09-09 15:55:25,0.018s,PASSED
closeBrowser(),Chrome 76.0.3809.132,,,2019-09-09 15:55:25,2019-09-09 15:55:26,0.792s,PASSED
