Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
GoogleTest,Chrome 76.0.3809.132,,,2019-09-09 16:07:51,2019-09-09 16:08:07,15.589s,INCOMPLETE
,,,,,,,
Test Cases/GoogleSearch,Chrome 76.0.3809.132,,,2019-09-09 16:07:51,2019-09-09 16:08:07,15.308s,PASSED
"openBrowser("""")",Chrome 76.0.3809.132,,,2019-09-09 16:07:52,2019-09-09 16:07:56,4.080s,PASSED
"navigateToUrl(""https://www.google.com/"")",Chrome 76.0.3809.132,,,2019-09-09 16:07:56,2019-09-09 16:07:58,2.093s,PASSED
"setText(findTestObject(""Object Repository/Page_Google/input_Show me_q""), ""selenium"")",Chrome 76.0.3809.132,,,2019-09-09 16:07:58,2019-09-09 16:07:59,1.043s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Google/input_Show me_q""), Keys.chord(ENTER))",Chrome 76.0.3809.132,,,2019-09-09 16:07:59,2019-09-09 16:08:04,4.778s,PASSED
delay(2),Chrome 76.0.3809.132,,,2019-09-09 16:08:04,2019-09-09 16:08:06,2.046s,PASSED
pageTitle = getWindowTitle(),Chrome 76.0.3809.132,,,2019-09-09 16:08:06,2019-09-09 16:08:06,0.037s,PASSED
"verifyMatch(pageTitle, ""selenium - Google Search"", false)",Chrome 76.0.3809.132,,,2019-09-09 16:08:06,2019-09-09 16:08:06,0.016s,PASSED
closeBrowser(),Chrome 76.0.3809.132,,,2019-09-09 16:08:06,2019-09-09 16:08:07,0.738s,PASSED
